customer_id,name,gender,email,phone,purchase_amount,purchase_date,product_category,rating
CUST1004,Ali Ibrahim,1,ali.ibrahim@yahoo.com,987654321.0,635.81,2023-07-12,Clothing,2.0
CUST1016,Fatma Hassan,0,fatma.hassan@gmail.com,987654321.0,272.08,2024-09-01,Toys,2.0
CUST1018,Alaa Ali,0,alaa.ali@hotmail.com,123456789.0,923.5,2024-04-01,Toys,1.0
CUST1028,Lina Smith,1,lina.smith@gmail.com,123456789.0,303.65,2023-10-11,Clothing,2.0
CUST1039,Ahmed Hassan,1,ahmed.hassan@gmail.com,123456789.0,513.99,2024-02-02,Unknown,5.0
CUST1041,Alaa Mahmoud,1,alaa.mahmoud@hotmail.com,987654321.0,543.97,2025-08-03,Toys,4.0
CUST1042,Sara Mahmoud,0,sara.mahmoud@gmail.com,123456789.0,70.55,2024-03-01,Home,2.0
CUST1069,Sara Hassan,0,sara.hassan@yahoo.com,987654321.0,338.8,2024-02-07,Clothing,5.0
CUST1092,John Ali,0,john.ali@gmail.com,987654321.0,771.55,2023-07-09,Unknown,10.0
CUST1099,Mark Ibrahim,0,mark.ibrahim@gmail.com,987654321.0,402.26,2024-03-02,Clothing,2.0
CUST1101,Ali Mahmoud,0,ali.mahmoud@hotmail.com,123456789.0,502.86,2023-08-11,Unknown,1.0
CUST1108,Mark Ibrahim,0,mark.ibrahim@gmail.com,123456789.0,380.2,2023-09-07,Books,2.0
CUST1112,Alaa Mahmoud,0,alaa.mahmoud@yahoo.com,987654321.0,519.25,2024-06-07,Unknown,4.0
CUST1137,Alaa Ali,0,alaa.ali@yahoo.com,123456789.0,755.4,2025-03-03,Unknown,2.0
CUST1145,John Mahmoud,0,john.mahmoud@yahoo.com,123456789.0,756.48,2023-08-06,Electronics,4.0
CUST1147,Fatma Hassan,1,fatma.hassan@hotmail.com,987654321.0,749.79,2025-11-07,Books,5.0
CUST1161,Mark Ibrahim,0,mark.ibrahim@hotmail.com,123456789.0,647.76,2023-01-12,Unknown,5.0
